"Date","Time","Open","High","Low","Close","Up","Down"
05/11/2022,01:15:11,4018.25,4018.25,4018.25,4018.25,1,0
05/11/2022,01:15:12,4018.25,4018.25,4018.25,4018.25,2,0
05/11/2022,01:15:13,4018.25,4018.25,4018.25,4018.25,1,0
05/11/2022,01:15:14,4018.25,4018.50,4018.25,4018.25,11,2
05/11/2022,01:15:16,4018.25,4018.25,4018.25,4018.25,0,16
05/11/2022,01:15:18,4018.50,4018.50,4018.25,4018.25,1,2
05/11/2022,01:15:20,4018.00,4018.00,4018.00,4018.00,0,2
05/11/2022,01:15:21,4018.25,4018.25,4018.25,4018.25,6,0
05/11/2022,01:15:23,4018.00,4018.25,4018.00,4018.00,1,7
05/11/2022,01:15:24,4018.25,4018.25,4018.25,4018.25,1,0
05/11/2022,01:15:26,4018.50,4018.50,4018.50,4018.50,10,0
05/11/2022,01:15:27,4018.25,4018.25,4018.25,4018.25,0,1
05/11/2022,01:15:28,4018.25,4018.25,4018.25,4018.25,0,10
05/11/2022,01:15:29,4018.00,4018.00,4018.00,4018.00,0,1
05/11/2022,01:15:31,4018.25,4018.50,4018.25,4018.50,16,0
05/11/2022,01:15:32,4018.50,4018.50,4018.50,4018.50,12,0
05/11/2022,01:15:40,4018.25,4018.25,4018.25,4018.25,0,11
05/11/2022,01:15:44,4018.50,4018.50,4018.50,4018.50,46,0
05/11/2022,01:15:45,4018.50,4018.50,4018.50,4018.50,3,0
05/11/2022,01:15:46,4018.50,4018.50,4018.50,4018.50,13,0
05/11/2022,01:15:47,4018.50,4018.50,4018.50,4018.50,9,0
05/11/2022,01:15:49,4018.50,4018.50,4018.50,4018.50,8,0
05/11/2022,01:15:50,4018.25,4018.25,4018.25,4018.25,0,5
05/11/2022,01:15:51,4018.25,4018.25,4018.25,4018.25,0,29
05/11/2022,01:15:54,4018.25,4018.25,4018.25,4018.25,0,4
05/11/2022,01:15:55,4018.25,4018.25,4018.25,4018.25,0,3
05/11/2022,01:15:56,4018.25,4018.25,4018.25,4018.25,0,1
05/11/2022,01:15:57,4018.25,4018.25,4018.00,4018.00,0,15
05/11/2022,01:15:58,4018.25,4018.25,4018.25,4018.25,2,0
